好书,蔡康永的文字很细腻 这小说不错	1
高中生心理辅导案例解析一书的评论,书是比较有用,但是有错别字,估计是盗版!-	0
我想买他写的第二版,有的话请电话或信箱通知我。-	0
键子偏软,蓝影3500虽说是小鼠标,但用起来还是合适的。外观不错,键子偏软。用的感觉不错,物有所值吧	1
好书,这是为我儿子买的书,很好,内容、印刷都很好,儿子很喜欢!	1
是复乐园,不好看,跟失乐园没什么关系,炒作概念而已-	0
言简意赅,因为是育儿专家推荐的书,所以才买的,个人认为主要功能是书后的附表,可以对照宝宝的成长阶段进行参考。不过真的是简要本,好薄哦!	1
老师指定用书,法学专业的孩子看看还不错啦	1
经典的书籍,本书我在学校里已经看过一遍,真的是心旷神怡的阅读体验! 书籍的语言我估计很多是欧美历史地理经典书籍的摘录,非常地道通俗又不失古典韵味。 阅读本书就像在听BBC播音员用浓重的嗓音饱含沧桑感慨地给我们讲述着古代先人们辉煌的历史。	1
坏的快,一年就出问题了,还是换上原来旧的-	0
该书不错,这本书不错,方法简单实用,一看就明白,适合新手学习,给5颗星	1
差强人意而已,空间太小太矮了,感觉蒸不了其它东西。中间的提手位置有点浪费,还可以加个蛋嘛,不过这个提手可以拆掉。开关有点粗糙,内嵌的。外包装盒子竟然是类似卓越纸箱的纸箱,像个快递包,没有小家电的精致美观。看来小熊的广告做的好。不如美的的好,才48元,可惜缺货。这款完全看不出来市场价有130元,太虚高了。-	0
通俗读物,建议专业者不要买 普及通俗读物 还那么贵-	0
很可惜,我买到的可能不是正品,按照防伪标识上的指示,往上面抹水,发现没什么变化,乌龟还在。以为水抹少了, 又多浇了些水抹,结果防伪标识就掉下来了。所以,怀疑不是正品。-	0
好书,刚刚看完这本书,非常的不错,优美的图画,温暖中带着伤感的文字。给我以很大的感触,友情,那是一个可以伴一生的一种感情,不会因时间和空间的距离而拉远,这种感情永远在我们的身边陪伴着我们。	1
很好的护发素,这个很便宜,但是效果还是很好的。	0
硬盘很响,无线网络会掉线,售后说国家规定是50FB乖乖这个声音要多大,硬盘声音大,无线网络会掉线,不要购买-	0
太次了,卓越要是再提供这样的东西,是会影响自己信誉的!其中几张CD连CD信息都没有!-	0
宝宝很喜欢。,宝宝很喜欢。小小的道理讲给宝宝听,增加孩子的社交能力。	1
够全,但太简单。,每种镜头不过寥寥一页的篇幅,实战的例子不过1-2张,与想像的相差很大。-	0
被用过的,书被用过,而且被压坏了,封面又被折叠过!买这本书很不高兴-	0
喜欢,包装不错,速度快,最喜欢赠品了~~~嘿嘿	1
一点都不好用,去油效果很差,也许是我皮肤太油了,但是真的不好用。-	0
不满意,缝线处理一点读不好 没半个月就烂了-	0
CD少一张,内包装都少了!!!,本该有4张碟,3张DVD,一张CD。但是少了一张DVD,而且没有包装!!内部被拆开过。申请了退货,快一个礼拜没有回复!!!!-	0
偏见,此书写的充满偏见和无知  我们要的事实-	0
信号不行!,这款手机其他还好,声音和字体都挺大,但有个致命的缺点,信号不好!慎买!-	0
很可爱,能在笑声中感受到父子之间的深厚感情	1
很差劲,字体很小,纸张不好,不喜欢-	0
疑似假货,和我在商店买的完全不一样,一削就断,不像正品-	0
挺好的,是别人推荐的 说是比较清楚明白 挺厚的 纸张什么的没问题	1
